AC,Account,Manager,Date,CRBM
Developed,KSBF20020002,AKO,2005-05-31,0.041697
Developed,KSBF20020002,AKO,2005-06-30,0.032273
Developed,KSBF20020002,AKO,2005-07-31,0.041975
Developed,KSBF20020002,AKO,2005-08-31,-0.008108
Developed,KSBF20020002,AKO,2005-09-30,0.043921
Developed,KSBF20020002,AKO,2005-10-31,-0.024483
Developed,KSBF20020002,AKO,2005-11-30,0.028937
Developed,KSBF20020002,AKO,2005-12-31,0.034994
Developed,KSBF20020002,AKO,2006-01-31,0.028089
Developed,KSBF20020002,AKO,2006-02-28,0.014993
Developed,KSBF20020002,AKO,2006-03-31,0.027307
Developed,KSBF20020002,AKO,2006-04-30,0.002217
Developed,KSBF20020002,AKO,2006-05-31,-0.054545
Developed,KSBF20020002,AKO,2006-06-30,0.009166
Developed,KSBF20020002,AKO,2006-07-31,0.015028
Developed,KSBF20020002,AKO,2006-08-31,0.017646
Developed,KSBF20020002,AKO,2006-09-30,0.019057
Developed,KSBF20020002,AKO,2006-10-31,0.028015
Developed,KSBF20020002,AKO,2006-11-30,-0.008212
Developed,KSBF20020002,AKO,2006-12-31,0.034687
Developed,KSBF20020002,AKO,2007-01-31,0.015336
Developed,KSBF20020002,AKO,2007-02-28,-0.016292
Developed,KSBF20020002,AKO,2007-03-31,0.024199
Developed,KSBF20020002,AKO,2007-04-30,0.039062
Developed,KSBF20020002,AKO,2007-05-31,0.024141
Developed,KSBF20020002,AKO,2007-06-30,-0.005995
Developed,KSBF20020002,AKO,2007-07-31,-0.035823
Developed,KSBF20020002,AKO,2007-08-31,-0.00672
Developed,KSBF20020002,AKO,2007-09-30,0.021628
Developed,KSBF20020002,AKO,2007-10-31,0.028416
Developed,KSBF20020002,AKO,2007-11-30,-0.032282
Developed,KSBF20020002,AKO,2007-12-31,-0.003943
Developed,KSBF20020002,AKO,2008-01-31,-0.116681
Developed,KSBF20020002,AKO,2008-02-29,-0.00649
Developed,KSBF20020002,AKO,2008-03-31,-0.03072
Developed,KSBF20020002,AKO,2008-04-30,0.058562
Developed,KSBF20020002,AKO,2008-05-31,-0.004368
Developed,KSBF20020002,AKO,2008-06-30,-0.097445
Developed,KSBF20020002,AKO,2008-07-31,-0.014518
Developed,KSBF20020002,AKO,2008-08-31,0.017129
Developed,KSBF20020002,AKO,2008-09-30,-0.114683
Developed,KSBF20020002,AKO,2008-10-31,-0.126934
Developed,KSBF20020002,AKO,2008-11-30,-0.052998
Developed,KSBF20020002,AKO,2008-12-31,0.007557
Developed,KSBF20020002,AKO,2009-01-31,-0.0676
Developed,KSBF20020002,AKO,2009-02-28,-0.096842
Developed,KSBF20020002,AKO,2009-03-31,0.035917
Developed,KSBF20020002,AKO,2009-04-30,0.113471
Developed,KSBF20020002,AKO,2009-05-31,0.034973
Developed,KSBF20020002,AKO,2009-06-30,-0.019643
Developed,KSBF20020002,AKO,2009-07-31,0.092299
Developed,KSBF20020002,AKO,2009-08-31,0.0544
Developed,KSBF20020002,AKO,2009-09-30,0.036063
