"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"Shoreline China Value III LP","20,000,000","845,382","24,111,931","1,791,189","22,277,003",0,9/30/2020,"8,666,474","-1,441,887","7,224,587",5.11,1.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"Shoreline III Co-Investment LP","20,000,000","1,290,727","32,129,849","121,136","33,017,685",0,9/30/2020,"3,772,867","-380,819","3,392,048",8.85,1.13
,,,,"Kamehameha Schools - Financial Assets Division",,,"Silver Lake Partners II, L.P.","15,000,000","1,765,793","12,916,297","805,973","25,946,725",0,9/30/2020,"11,316",0,"11,316",11.02,1.89
,,,,"Kamehameha Schools - Financial Assets Division",,,"Silver Lake Partners III, L.P.","15,000,000","1,410,637","15,460,986","1,088,789","30,709,928",0,9/30/2020,"3,514,349","-97,343","3,417,006",18.44,2.06
,,,,"Kamehameha Schools - Financial Assets Division",,,"Silver Lake Partners IV LP","17,500,000","729,405","20,211,965","1,495,907","18,971,254",0,9/30/2020,"27,421,543","-1,877,228","25,544,315",24.84,2.05
,,,,"Kamehameha Schools - Financial Assets Division",,,"Silver Lake Partners V LP","27,000,000","4,299,850","25,859,929","444,995","4,196,637",0,9/30/2020,"32,134,352","1,725,379","33,859,731",30.43,1.45
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sino Finance Group, LLC","5,381,916",0,"5,381,916",0,"11,442,503",0,6/30/2020,"54,444,423",0,"54,444,423",10.13,12.24
,,,,"Kamehameha Schools - Financial Assets Division",,,"Startup Capital Ventures Fund II","5,000,000","1,000,000","3,726,572","273,428","1,059,815",0,9/30/2020,"2,485,642","97,440","2,583,082",-3.04,0.91
,,,,"Kamehameha Schools - Financial Assets Division",,,"Startup Capital Ventures, L.P.","3,000,000",0,"3,000,000",0,"3,575,089",0,6/30/2018,"1,994,716","-994,816","999,900",5.30,1.52
,,,,"Kamehameha Schools - Financial Assets Division",,,"Summit Partners Private Equity Fund VII-B, L.P.","5,000,000",0,"5,000,000","119,894","8,252,387","95,255",9/30/2020,"1,200,903","-223,527","977,376",10.01,1.82
